169,Wright State (Airstrike)
170,Western Michigan (Dark Horse)
171,Eastern Michigan (Fighting Hellfish)
172,Pittsburgh-B (University of Pittsburgh- B)
173,Grand Valley (Lakers)
174,Wisconsin-Platteville (Udderburn)
175,Notre Dame-B (Opus D's)
176,Knox (River Rats)
177,Loyola-Chicago (Darkwing)
178,Missouri State (Missouri State Ultimate)
179,MIT (Grim Beaver)
180,Bowdoin (Clown)
181,Bentley (Icehouse)
182,Boston University (Boston University)
183,Wesleyan (Nietzsch Factor)
184,Elon (Big Fat Bomb)
185,Richmond (Spidermonkeys)
186,North Carolina-Asheville (UNC Asheville Mudpuppy)
187,Williams (WUFO)
188,Franciscan (Fatal)
189,Middlebury (Pranksters)
190,Baylor (Stonewall A)
191,Texas-San Antonio (Siesta)
192,Texas Tech (Tumbleweed)
193,Sam Houston (Prison Break)
194,Oklahoma (Apes of Wrath)
195,Tennessee Tech (Tech Talons)
196,Vanderbilt (Armada)
197,Georgia State (Underground)
198,Harvard (Red Line)
199,Minnesota-Duluth (Northern Lights)
200,Boise State (Mamu Zaldi)
201,Montana (Smokejump)
202,Nevada-Reno (Elevation Ultimate)
203,Texas A&M (Dozen)
204,Cornell (Buds)
205,SUNY-Buffalo (Green Eggs and Ham)
206,West Chester (West Chester (A))
207,Pennsylvania (Void)
208,Massachusetts -B (Umass Amherst Developmental)
209,Columbia (Uptown Local)
210,Maine (Snositi)
211,Boston University-B (Boston University B)
212,Tufts-B (Tufts B)
213,Providence (PC Ulty)
214,Central Connecticut State (Yetis)
215,Rensselaer Polytech (Trudge)
216,Salisbury (Buzz)
217,Harvard-B (BRed Line)
218,Connecticut-B (Grind)
219,Massachusetts-Lowell (Riverhawks)
220,Bradley (Angry Otters)
221,North Park (Lost Boys)
222,Rochester (Piggies)
223,Brigham Young (CHI)
224,California-Santa Barbara (Black Tide)
225,Cal Poly-SLO (SLOCORE)
226,Washington (Sundodgers)
227,Colorado State (Hibida)
228,Minnesota (Minnesota A)
229,Purdue (Undue Ultimate)
230,Pittsburgh (En Sabah Nur)
231,Emory (Emory Juice)
232,Tulane (Tucks)
233,Vermont (Chill)
234,Western Washington (DIRT)
235,Oregon State (Beavers)
236,Gonzaga (GURU)
237,Wisconsin (Hodags)
238,Denver-B (Sourdough B Team)
239,Colorado Mines (Entropy)
240,Colorado State-B (Bibida)
241,California-B (Ursa Minor)
242,British Columbia (Thunderbirds)
243,Cal Poly-SLO-B (SLOB)
244,Victoria (Vikes)
245,California-Santa Cruz (Slugs)
246,California (Ursa Major)
247,Northwestern (Lake Effect)
248,Santa Clara (SCAB)
249,Stanford (Stanford Men's Ultimate Team)
250,Utah State (Scotsmen)
251,British Columbia -B (B-Birds)
252,Stanford-B (Huck Syndrome)
253,Santa Clara-B (SCRATCH)
254,Portland (Uprise)
255,California-San Diego (Air Squids)
256,UCLA (Smaug)
257,Wisconsin-Milwaukee (Black Cat)
258,Simon Fraser (SFU Red Leafs)
259,Brown (Brownian Motion)
260,Colorado (Mamabird)
261,Georgia (Jojah)
262,Penn State (Spank)
263,Texas (TUFF)
264,Oregon (Ego)
265,Northeastern (Huskies)
266,Cleveland State (Cleveland State Vikings)
267,Drexel (Spitfire)
268,Dayton (FLUD)
269,Cal Poly-CCWR (CCWR)
270,California-Davis (Davis Dogs)
271,California-Santa Barbara-B (Black Out)
272,Cal Poly-Humboldt (Humboldt Buds)
273,Oregon -B (Bucks)
274,Oregon State-B (Oregon State B)
275,Portland State (Vitruvious)
276,California-Santa Cruz-B (UCSC B (Ooze))
277,Chico State (Chico State)
278,California-Irvine (Nightlife)
279,Utah Valley (Utah Valley Ultimate)
280,Utah (Zion Curtain)
281,Georgia Tech (Tribe)
282,UCLA-B (UCLA Smoke)
283,Cal State-Long Beach (Pyramid Scheme)
